iter	Passed	Remaining
0	194	194760
1	236	117771
2	277	92191
3	315	78587
4	347	69078
5	380	62956
6	411	58338
7	441	54698
8	467	51494
9	493	48809
10	520	46801
11	551	45369
12	580	44075
13	608	42838
14	631	41496
15	658	40484
16	687	39748
17	713	38918
18	742	38339
19	769	37715
20	794	37046
21	821	36526
22	849	36096
23	880	35807
24	911	35545
25	952	35690
26	1007	36307
27	1054	36612
28	1106	37052
29	1155	37371
30	1205	37694
31	1242	37573
32	1273	37325
33	1302	36994
34	1326	36584
35	1356	36319
36	1385	36047
37	1413	35779
38	1441	35527
39	1470	35287
40	1498	35051
41	1523	34742
42	1552	34558
43	1579	34317
44	1617	34333
45	1664	34527
46	1711	34709
47	1750	34715
48	1798	34905
49	1845	35072
50	1885	35077
51	1913	34875
52	1941	34682
53	1970	34517
54	1999	34361
55	2030	34221
56	2054	33984
57	2082	33817
58	2111	33677
59	2140	33534
60	2170	33412
61	2201	33301
62	2235	33247
63	2295	33575
64	2358	33924
65	2414	34163
66	2470	34399
67	2505	34334
68	2535	34210
69	2564	34068
70	2592	33915
71	2616	33721
72	2645	33595
73	2674	33465
74	2702	33336
75	2732	33219
76	2762	33115
77	2794	33031
78	2827	32969
79	2875	33072
80	2908	32997
81	2937	32889
82	2973	32853
83	3005	32770
84	3039	32716
85	3068	32616
86	3100	32535
87	3132	32464
88	3162	32370
89	3195	32312
90	3229	32261
91	3261	32192
92	3294	32126
93	3325	32054
94	3361	32025
95	3394	31969
96	3426	31898
97	3463	31880
98	3500	31860
99	3538	31844
100	3570	31783
101	3602	31713
102	3630	31619
103	3661	31549
104	3689	31451
105	3716	31341
106	3740	31213
107	3764	31092
108	3791	30992
109	3822	30928
110	3852	30857
111	3881	30778
112	3905	30657
113	3930	30547
114	3956	30449
115	3987	30388
116	4017	30323
117	4060	30346
118	4091	30292
119	4124	30248
120	4158	30210
121	4208	30285
122	4267	30427
123	4326	30565
124	4385	30696
125	4420	30662
126	4452	30607
127	4485	30555
128	4514	30484
129	4545	30422
130	4576	30356
131	4599	30246
132	4626	30160
133	4654	30078
134	4683	30011
135	4710	29923
136	4732	29813
137	4758	29720
138	4785	29640
139	4814	29576
140	4838	29477
141	4864	29393
142	4891	29314
143	4917	29230
144	4945	29160
145	4975	29101
146	5004	29041
147	5053	29094
148	5107	29171
149	5157	29226
150	5210	29296
151	5262	29360
152	5319	29449
153	5354	29416
154	5403	29457
155	5453	29507
156	5504	29557
157	5550	29578
158	5580	29514
159	5607	29437
160	5630	29343
161	5655	29252
162	5679	29162
163	5705	29085
164	5727	28985
165	5751	28894
166	5775	28809
167	5803	28743
168	5824	28640
169	5850	28566
170	5876	28490
171	5902	28415
172	5931	28352
173	5957	28278
174	5983	28209
175	6010	28138
176	6040	28086
177	6070	28032
178	6099	27974
179	6123	27897
180	6151	27834
181	6180	27780
182	6208	27716
183	6239	27672
184	6270	27623
185	6300	27574
186	6330	27520
187	6359	27466
188	6386	27402
189	6413	27343
190	6439	27276
191	6469	27224
192	6498	27170
193	6521	27093
194	6547	27028
195	6571	26955
196	6599	26899
197	6625	26838
198	6646	26751
199	6671	26686
200	6700	26633
201	6725	26567
202	6747	26491
203	6773	26430
204	6801	26376
205	6829	26322
206	6858	26273
207	6883	26210
208	6909	26150
209	6936	26093
210	6966	26048
211	6996	26004
212	7025	25958
213	7049	25892
214	7076	25838
215	7104	25788
216	7134	25743
217	7166	25706
218	7218	25741
219	7289	25845
220	7341	25877
221	7394	25915
222	7454	25972
223	7504	25999
224	7554	26020
225	7595	26012
226	7624	25962
227	7646	25892
228	7671	25828
229	7697	25768
230	7723	25710
231	7743	25634
232	7768	25573
233	7794	25514
234	7821	25460
235	7842	25388
236	7869	25335
237	7898	25290
238	7928	25246
239	7960	25207
240	7991	25169
241	8021	25125
242	8052	25085
243	8081	25039
244	8106	24981
245	8135	24935
246	8162	24882
247	8191	24837
248	8221	24796
249	8252	24757
250	8281	24713
251	8307	24658
252	8334	24609
253	8364	24566
254	8396	24530
255	8455	24574
256	8502	24582
257	8551	24592
258	8578	24543
259	8602	24485
260	8628	24431
261	8654	24378
262	8682	24330
263	8708	24277
264	8730	24215
265	8757	24164
266	8785	24117
267	8814	24075
268	8842	24028
269	8865	23970
270	8891	23917
271	8917	23867
272	8950	23835
273	8984	23806
274	9042	23839
275	9093	23853
276	9146	23872
277	9187	23859
278	9225	23840
279	9284	23874
280	9340	23900
281	9389	23907
282	9423	23875
283	9453	23832
284	9485	23796
285	9519	23765
286	9548	23721
287	9579	23682
288	9607	23635
289	9635	23591
290	9661	23540
291	9690	23496
292	9718	23451
293	9744	23399
294	9774	23358
295	9803	23316
296	9827	23261
297	9852	23209
298	9881	23167
299	9909	23122
300	9938	23080
301	9968	23040
302	9993	22987
303	10023	22948
304	10052	22906
305	10080	22862
306	10108	22818
307	10138	22778
308	10168	22740
309	10201	22706
310	10237	22680
311	10275	22659
312	10309	22627
313	10339	22589
314	10368	22547
315	10401	22515
316	10433	22480
